timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,liquidity_dollars,volume_24h,odds_home_team,odds_away_team,odds_start_time,odds_market_type,odds_team,odds_price,odds_point,odds_last_fetch_time
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14VCUURI-VCU4,VCU wins by over 4.5 Points?,active,binary,,0.54,0.6,0.4,0.46,1237208.11,106899.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14VCUURI-VCU19,VCU wins by over 19.5 Points?,active,binary,,0.05,0.24,0.76,0.95,1515148.54,817.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14VCUURI-VCU16,VCU wins by over 16.5 Points?,active,binary,,0.18,0.4,0.6,0.82,1282804.36,905.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14VCUURI-VCU13,VCU wins by over 13.5 Points?,active,binary,,0.28,0.72,0.28,0.72,784469.26,4695.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14VCUURI-VCU10,VCU wins by over 10.5 Points?,active,binary,,0.22,0.4,0.6,0.78,723644.08,945.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14VCUURI-VCU1,VCU wins by over 1.5 Points?,active,binary,,0.55,0.8,0.2,0.45,1098617.68,13408.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14VCUURI-URI8,Rhode Island wins by over 8.5 Points?,active,binary,,0.11,0.23,0.77,0.89,1402935.73,5877.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14VCUURI-URI5,Rhode Island wins by over 5.5 Points?,active,binary,,0.05,0.3,0.7,0.95,1085146.94,1999.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14VCUURI-URI2,Rhode Island wins by over 2.5 Points?,active,binary,,0.07,0.32,0.68,0.93,760418.02,2561.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14VCUURI-URI11,Rhode Island wins by over 11.5 Points?,active,binary,,0.03,0.19,0.81,0.97,1700477.78,13.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14RADWEBB-169,Radford at Gardner-Webb: Total Points,active,binary,,0.32,0.52,0.48,0.68,7548.59,123.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14RADWEBB-166,Radford at Gardner-Webb: Total Points,active,binary,,0.44,0.45,0.55,0.56,54293.81,16224.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14RADWEBB-163,Radford at Gardner-Webb: Total Points,active,binary,,0.54,0.57,0.43,0.46,10333.1,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14LAFBUCK-143,Lafayette at Bucknell: Total Points,active,binary,,0.28,0.5,0.5,0.72,7894.88,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14LAFBUCK-140,Lafayette at Bucknell: Total Points,active,binary,,0.41,0.44,0.56,0.59,9742.27,697.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14LAFBUCK-137,Lafayette at Bucknell: Total Points,active,binary,,0.52,0.53,0.47,0.48,27139.34,219.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14UNCAPRE-138,UNC Asheville at Presbyterian: Total Points,active,binary,,0.32,0.52,0.48,0.68,6522.03,10.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14UNCAPRE-135,UNC Asheville at Presbyterian: Total Points,active,binary,,0.51,0.52,0.48,0.49,16798.04,2620.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14UNCAPRE-132,UNC Asheville at Presbyterian: Total Points,active,binary,,0.54,0.57,0.43,0.46,9616.67,35.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14SCUSCHSO-157,USC Upstate at Charleston Southern: Total Points,active,binary,,0.45,0.47,0.53,0.55,10824.88,492.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14SCUSCHSO-154,USC Upstate at Charleston Southern: Total Points,active,binary,,0.53,0.55,0.45,0.47,11211.91,337.0,,,,,,,,
