timestamp,ticker,title,status,market_type,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_depth,no_depth,liquidity_dollars,volume_24h
2025-10-21T04:14:04.409791Z,KXMVENFLSINGLEGAME-S2025ED59EFC8675-FF3AB37EE62,"yes Nico Collins: 70+,yes AJ Barner: 10+,yes Cooper Kupp: 60+,yes Elijah Arroyo: 40+,yes Jaxon Smith-Njigba: 90+,yes Nick Chubb: 20+,yes Zach Charbonnet: 40+",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,934.0
2025-10-21T04:14:04.550334Z,KXMVENFLSINGLEGAME-S2025F8B2F43D386-C24DEEE9E3A,"yes Dalton Schultz,yes Houston,yes C.J. Stroud: 200+,yes Sam Darnold: 200+,no Over 49.5 points scored",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,934.0
2025-10-21T04:14:04.686602Z,KXMVENFLSINGLEGAME-S20259CCA6B636B7-4C5DAE016E0,"no Seattle wins by over 14.5 points,yes Over 40.5 points scored",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,853.0
2025-10-21T04:14:04.824228Z,KXMVENFLSINGLEGAME-S202544747F6E32B-821A9403644,"yes AJ Barner,yes Kenneth Walker III,yes Seattle wins by over 6.5 points",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,847.0
2025-10-21T04:14:04.963488Z,KXMVENFLSINGLEGAME-S2025984C39B2928-6A8632C67D8,"yes Nick Chubb,yes Kenneth Walker III,yes Sam Darnold: 200+,yes Nick Chubb: 40+,yes Kenneth Walker III: 60+,yes Seattle wins by over 5.5 points",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,847.0
2025-10-21T04:14:05.101697Z,KXMVENFLSINGLEGAME-S20254C39FD9B562-BB1EA2414A3,"yes Nick Chubb,yes Sam Darnold: 250+",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,769.0
2025-10-21T04:14:05.243320Z,KXMVENFLSINGLEGAME-S2025C2A2EB2860D-34570A53399,"yes Cooper Kupp,yes Elijah Arroyo,yes Sam Darnold: 275+",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,769.0
2025-10-21T04:14:05.380162Z,KXMVENFLSINGLEGAME-S2025185BF0B071C-0C9C7877ED7,"yes Cooper Kupp,yes Seattle,no Over 44.5 points scored",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,756.0
2025-10-21T04:14:05.521132Z,KXMVENFLSINGLEGAME-S20259CCA6B636B7-F8C9D394B67,"no Seattle wins by over 14.5 points,yes Over 43.5 points scored",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,737.0
2025-10-21T04:14:28.694214Z,KXATPMATCH-25OCT21NORRUB-RUB,Will Andrey Rublev win the Norrie vs Rublev match?,active,binary,0.63,0.88,0.64,0.02,0.36,0.98,0.37,0.12,0.01,0.01,14,9,20432.47,628.0
2025-10-21T04:14:28.822245Z,KXATPMATCH-25OCT21NORRUB-NOR,Will Cameron Norrie win the Norrie vs Rublev match?,active,binary,0.36,0.88,0.37,0.02,0.63,0.98,0.64,0.12,0.01,0.01,13,11,17895.96,362.0
2025-10-21T04:14:28.948464Z,KXATPMATCH-25OCT21MPEFON-MPE,Will Giovanni Mpetshi Perricard win the Mpetshi Perricard vs Fonseca match?,active,binary,0.53,0.98,0.55,0.02,0.45,0.98,0.47,0.02,0.02,0.02,13,9,17070.57,1150.0
2025-10-21T04:14:29.077033Z,KXATPMATCH-25OCT21MPEFON-FON,Will Joao Fonseca win the Mpetshi Perricard vs Fonseca match?,active,binary,0.45,0.98,0.47,0.02,0.53,0.98,0.55,0.02,0.02,0.02,11,9,15901.1,351.0
2025-10-21T04:14:29.199148Z,KXATPMATCH-25OCT21GIRSHA-GIR,Will Marcos Giron win the Giron vs Shapovalov match?,active,binary,0.4,0.98,0.41,0.02,0.59,0.98,0.6,0.02,0.01,0.01,12,10,15431.1,45.0
2025-10-21T04:14:29.331689Z,KXATPMATCH-25OCT21GIRSHA-SHA,Will Denis Shapovalov win the Giron vs Shapovalov match?,active,binary,0.59,0.98,0.6,0.02,0.4,0.98,0.41,0.02,0.01,0.01,14,9,14061.18,286.0
2025-10-21T04:14:29.462735Z,KXATPMATCH-25OCT21ETCBUD-BUD,Will Nicolai Budkov Kjaer win the Etcheverry vs Budkov Kjaer match?,active,binary,0.42,0.98,0.44,0.02,0.56,0.98,0.58,0.02,0.02,0.02,11,8,12536.47,33.0
2025-10-21T04:14:29.598682Z,KXATPMATCH-25OCT21ETCBUD-ETC,Will Tomas Martin Etcheverry win the Etcheverry vs Budkov Kjaer match?,active,binary,0.56,0.98,0.58,0.02,0.42,0.98,0.44,0.02,0.02,0.02,12,6,12428.16,16.0
2025-10-21T04:14:29.735023Z,KXDIDDYPUBLIC-25NOV01,"Will Sean Combs be seen in public before Nov 1, 2025?",active,binary,0.05,0.49,0.2,0.05,0.8,0.95,0.95,0.51,0.15,0.15,2,4,5574.97,0.0
2025-10-21T04:14:29.869558Z,KXMVENFLSINGLEGAME-S2025A53CD7C5BF5-91E81D0AB77,"yes C.J. Stroud: 175+,yes Cooper Kupp: 40+,yes Nick Chubb: 40+",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,5046.0
2025-10-21T04:14:29.990698Z,KXMVENFLMULTIGAMEEXTENDED-S2025E8FA18D6ACD-3C9DF7A096A,"yes Jaxon Smith-Njigba,yes Sam Darnold: 200+,yes Seattle wins by over 6.5 points",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,4734.0
