ts,ticker,intent_id,side,price,count,reason,fair_yes,edge,spread,yes_bid,yes_ask,no_bid,no_ask
2025-11-08T05:03:02.307725Z,KXEPLGAME-25NOV09BRENEW-NEW,bd0ff7dd-25ec-494b-bb8d-f1fe71ca4967,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:02.433741Z,KXEPLGAME-25NOV09BRENEW-TIE,07043ac7-bc4e-447f-bd30-1326c5087c29,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:02.433887Z,KXEPLGAME-25NOV09BRENEW-TIE,9722b9be-8be6-48f1-a167-f5abfe6bc2c4,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:02.536877Z,KXEPLGAME-25NOV09CRYBRI-BRI,c388036b-ce13-4549-984e-c02c497ef8d0,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:02.536948Z,KXEPLGAME-25NOV09CRYBRI-BRI,f5f66086-c14f-46d2-969e-811eca2901cd,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:02.667915Z,KXEPLGAME-25NOV09CRYBRI-CRY,bf5b24ce-704d-41e9-bbe9-e5ddca547a4b,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:02.668109Z,KXEPLGAME-25NOV09CRYBRI-CRY,d3a119c9-9b69-49c1-8c0d-8942df1db8e9,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:02.819747Z,KXEPLGAME-25NOV09CRYBRI-TIE,dce367a5-0ae1-4c24-a697-b426b272d273,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:02.821182Z,KXEPLGAME-25NOV09CRYBRI-TIE,b1ff976a-0770-434b-9d90-0807055fe4f2,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:02.934867Z,KXEPLGAME-25NOV09MCILFC-LFC,9d82c713-76f0-4d04-941b-4a4c3245ae89,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:02.934947Z,KXEPLGAME-25NOV09MCILFC-LFC,2a79aad4-44e6-4e2f-bb19-04a5c6154e0b,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:03.052110Z,KXEPLGAME-25NOV09MCILFC-MCI,9310c062-6729-4ec5-a085-b8dca075ab84,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:03.052193Z,KXEPLGAME-25NOV09MCILFC-MCI,6b15f8dd-2c64-4c64-8a11-95b4200c1e72,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:03.162814Z,KXEPLGAME-25NOV09MCILFC-TIE,eff24a7b-570b-464c-a042-8c4ad86f3c00,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:03.163018Z,KXEPLGAME-25NOV09MCILFC-TIE,e1db81dc-da39-4547-8257-934a1cbbcbfb,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:03.300742Z,KXEPLGAME-25NOV09NFOLEE-LEE,e06246c9-d643-4573-8e2e-bf0bce990b7d,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:03.300943Z,KXEPLGAME-25NOV09NFOLEE-LEE,407db692-86ac-4368-8d40-f204a555a042,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:03.505176Z,KXEPLGAME-25NOV09NFOLEE-NFO,466f1dd6-178a-4286-8621-a370b0c61d4e,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:03.505383Z,KXEPLGAME-25NOV09NFOLEE-NFO,a06c25fb-af6c-43f8-8318-789f622ee5aa,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:03.711878Z,KXEPLGAME-25NOV09NFOLEE-TIE,10969277-993f-41ae-8bc4-d712161d12b2,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:03.712081Z,KXEPLGAME-25NOV09NFOLEE-TIE,65e1dbb6-a445-4d6f-a1a6-306e357aefa0,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:03.837625Z,KXEPLGAME-25NOV22BOUWHU-BOU,bc38c6da-b5e3-4ac9-a28e-d04c9ca2c480,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:03.837870Z,KXEPLGAME-25NOV22BOUWHU-BOU,5e1c7d49-ae02-418f-9471-6a2c0066cbb5,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:03.981317Z,KXEPLGAME-25NOV22BOUWHU-TIE,263307be-4a41-491c-bd9f-b17b5c0be274,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:03.981558Z,KXEPLGAME-25NOV22BOUWHU-TIE,7677d68d-1b42-48b9-9a8d-7808d0c8adce,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:04.102972Z,KXEPLGAME-25NOV22BOUWHU-WHU,56c4a192-4cc7-4438-ac67-bff0fd518c5d,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:04.103194Z,KXEPLGAME-25NOV22BOUWHU-WHU,5a48daa7-ca54-45a1-a14e-c929864c2915,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:04.224403Z,KXEPLGAME-25NOV22BRIBRE-BRE,780bb31c-69b2-4f75-a981-5cb353083533,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:04.224601Z,KXEPLGAME-25NOV22BRIBRE-BRE,35c839f4-1a02-4888-bafa-8a7cc84fb712,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:04.340062Z,KXEPLGAME-25NOV22BRIBRE-BRI,bc124a25-1887-490f-b52e-a4f6aa839e39,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:04.340283Z,KXEPLGAME-25NOV22BRIBRE-BRI,29002d10-4433-41d9-ab6c-302201c73cbc,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
