timestamp,ticker,title,status,market_type,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth,no_depth,liquidity_dollars,volume_24h
2025-11-07T23:17:54.375820Z,KXNCAAFGAME-25NOV15LTWSU-WSU,Louisiana Tech at Washington St. Winner?,active,binary,0.53,0.02,0.76,0.02,0.24,0.02,0.47,0.02,0.23,0.23,28,13,856204.68,0.0
2025-11-07T23:17:54.435638Z,KXNCAAFGAME-25NOV15LTWSU-LT,Louisiana Tech at Washington St. Winner?,active,binary,0.25,0.02,0.43,0.02,0.57,0.02,0.75,0.02,0.18,0.18,25,19,855472.16,0.0
2025-11-07T23:17:54.496666Z,KXNCAAFGAME-25NOV15BSUSDSU-SDSU,Boise St. at San Diego St. Winner?,active,binary,0.41,0.02,0.57,0.02,0.43,0.02,0.59,0.02,0.16,0.16,32,22,956742.77,72.0
2025-11-07T23:17:54.556008Z,KXNCAAFGAME-25NOV15BSUSDSU-BSU,Boise St. at San Diego St. Winner?,active,binary,0.35,0.02,0.61,0.02,0.39,0.02,0.65,0.02,0.26,0.26,27,18,930320.8,0.0
2025-11-07T23:17:54.625301Z,KXNCAAFGAME-25NOV15USUUNLV-USU,Utah St. at UNLV Winner?,active,binary,0.28,0.02,0.5,0.02,0.5,0.02,0.72,0.02,0.22,0.22,26,19,880572.66,0.0
2025-11-07T23:17:54.687270Z,KXNCAAFGAME-25NOV15USUUNLV-UNLV,Utah St. at UNLV Winner?,active,binary,0.5,0.02,0.72,0.02,0.28,0.02,0.5,0.02,0.22,0.22,27,17,906801.83,0.0
2025-11-07T23:17:54.756081Z,KXNCAAFGAME-25NOV15DELSHSU-SHSU,Delaware at Sam Houston Winner?,active,binary,0.25,0.02,0.46,0.02,0.54,0.02,0.75,0.02,0.21,0.21,25,20,909069.82,0.0
2025-11-07T23:17:54.823122Z,KXNCAAFGAME-25NOV15DELSHSU-DEL,Delaware at Sam Houston Winner?,active,binary,0.53,0.02,0.86,0.02,0.14,0.02,0.47,0.02,0.33,0.33,28,10,927380.51,0.0
2025-11-07T23:17:54.886669Z,KXNCAAFGAME-25NOV15LIBFIU-LIB,Liberty at Florida International Winner?,active,binary,0.51,0.02,0.68,0.02,0.32,0.02,0.49,0.02,0.17,0.17,29,16,936262.25,0.0
2025-11-07T23:17:54.946122Z,KXNCAAFGAME-25NOV15LIBFIU-FIU,Liberty at Florida International Winner?,active,binary,0.25,0.02,0.48,0.02,0.52,0.02,0.75,0.02,0.23,0.23,25,21,935006.78,0.0
