timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,liquidity_dollars,volume_24h
2026-01-12T18:22:02.068014-05:00,KXNBAGAME-26JAN12PHITOR-PHI,Philadelphia at Toronto Winner?,active,binary,,0.57,0.58,,,,
2026-01-12T18:22:02.068270-05:00,KXNCAAMBSPREAD-26JAN12SCSTCOPP-COPP2,Coppin St. wins by over 2.5 Points?,active,binary,,0.37,0.4,,,,
2026-01-12T18:22:02.068413-05:00,KXNBASPREAD-26JAN12BOSIND-BOS21,Boston wins by over 21.5 Points?,active,binary,,0.12,0.15,,,,
2026-01-12T18:22:02.068553-05:00,KXNCAAMBTOTAL-26JAN12NCCUMORG-145,North Carolina Central at Morgan St.: Total Points,active,binary,,0.41,0.42,,,,
2026-01-12T18:22:02.068690-05:00,KXNBAGAME-26JAN12UTACLE-UTA,Utah at Cleveland Winner?,active,binary,,0.18,0.19,,,,
2026-01-12T18:22:02.068824-05:00,KXNCAAMBSPREAD-26JAN12UMESNORF-NORF8,Norfolk St. wins by over 8.5 Points?,active,binary,,0.38,0.41,,,,
2026-01-12T18:22:02.068957-05:00,KXNCAAMBGAME-26JAN12NCCUMORG-MORG,North Carolina Central at Morgan St. Winner?,active,binary,,0.39,0.42,,,,
2026-01-12T18:22:02.069088-05:00,KXNFLGAME-26JAN12HOUPIT-HOU,Houston at Pittsburgh Winner?,active,binary,,0.59,0.6,,,,
2026-01-12T18:22:02.069214-05:00,KXNFLGAME-26JAN12HOUPIT-PIT,Houston at Pittsburgh Winner?,active,binary,,0.41,0.42,,,,
2026-01-12T18:22:02.069342-05:00,KXNCAAWBGAME-26JAN12ALAMIZZ-MIZZ,Alabama at Missouri Winner?,active,binary,,0.12,0.15,,,,
2026-01-12T18:22:02.985736-05:00,KXNCAAMBGAME-26JAN12NCCUMORG-NCCU,North Carolina Central at Morgan St. Winner?,active,binary,,0.62,0.63,,,,
2026-01-12T18:22:02.985985-05:00,KXNCAAMBTOTAL-26JAN12NCCUMORG-148,North Carolina Central at Morgan St.: Total Points,active,binary,,0.38,0.4,,,,
2026-01-12T18:22:02.986237-05:00,KXNBASPREAD-26JAN12BOSIND-IND6,Indiana wins by over 6.5 Points?,active,binary,,0.2,0.24,,,,
2026-01-12T18:22:02.986349-05:00,KXNBAGAME-26JAN12BKNDAL-DAL,Brooklyn at Dallas Winner?,active,binary,,0.59,0.6,,,,
